f1,precision,recall,abs_spd,di,metodo,base_treino,serie_treino,vies_treino
0.9980713596914176,0.9995171414775471,0.9966297544535387,0.20185429563360846,1.2806008653712768,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9987966305655837,0.9985563041385948,0.999037072701011,0.20187592911145436,1.2809073615763413,lr_balanceado,pd_v0.75,PD,0.75
0.9967590925459129,0.9940148431888916,0.9995185363505056,0.1996413981168338,1.2778892857080606,lr_reponderado,pd_v0.75,PD,0.75
0.8249068653539117,0.739362717038733,0.9328358208955224,0.06634618461232744,1.0929504563262955,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9973448716687974,0.9970507274872198,0.9976391894550463,0.35099365611095384,0.5835224528235697,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9973495631687445,0.9952978056426333,0.9994097973637616,0.35099917917518886,0.5830714125699198,lr_balanceado,pd_v0.75,PD,0.75
0.9946147067463037,0.9900584795321637,0.9992130631516821,0.3492022339820172,0.5843186241476095,lr_reponderado,pd_v0.75,PD,0.75
0.8650759219088937,0.773828003725551,0.9807200472162109,0.34774434495389794,0.550757774362683,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9998765889176848,0.9997532082922014,1.0,0.6810064859789486,0.30765372925487283,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9998765889176848,0.9997532082922014,1.0,0.6810064859789486,0.30765372925487283,lr_balanceado,pd_v0.75,PD,0.75
0.9920411411779111,0.9842079689018465,1.0,0.6766021091294544,0.30903751157775655,lr_reponderado,pd_v0.75,PD,0.75
0.8246619794483505,0.7339237581825183,0.9410022216736609,0.5596324672748683,0.3735444586725899,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9968938070277616,0.9949622166246851,0.9988329118848474,0.8729469961937761,0.12544377082968958,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9966062251527199,0.9936194895591647,0.9996109706282824,0.8731330273404297,0.12482303494926066,lr_balanceado,pd_v0.75,PD,0.75
0.993811641848772,0.988079215535474,0.9996109706282824,0.87108065649825,0.12508034714811825,lr_reponderado,pd_v0.75,PD,0.75
0.8331495773612643,0.7894828486853561,0.8819295856837192,0.6933498989065998,0.2433554161607773,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9911285794497473,0.9830697259968812,0.9993206521739131,0.05637982949231157,0.9300648245898383,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9892424921559838,0.979148181011535,0.9995471014492754,0.05712138234810016,0.9290968522599387,lr_balanceado,pd_v0.75,PD,0.75
0.9896884106702533,0.9798047048379938,0.9997735507246377,0.056735770430074384,0.9295659328234254,lr_reponderado,pd_v0.75,PD,0.75
0.7055532702591526,0.5540767541025973,0.9710144927536232,0.298737333047968,0.6146861925382151,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9972370238800079,0.9994066455696202,0.9950768018905081,0.09063495792669696,1.1339143492117996,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9973464373464374,0.9954875416911909,0.9992122883024813,0.0905890193255684,1.1342460160353698,lr_balanceado,pd_v0.75,PD,0.75
0.9928634275100205,0.9858279945641623,1.0,0.09143528098400133,1.1361776118121727,lr_reponderado,pd_v0.75,PD,0.75
0.7742485280446235,0.6381864623243934,0.9840488381252461,0.052804029962343124,0.9187014452543939,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9971352365899437,0.9980225430096895,0.996249506514015,0.046761554874666045,1.06632302917948,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.996945511873091,0.9952783789100925,0.9986182392420055,0.0475425408289627,1.0676228305095716,lr_balanceado,pd_v0.75,PD,0.75
0.9949867295782955,0.990992755042099,0.9990130280300039,0.047322024529879214,1.0674051947119607,lr_reponderado,pd_v0.75,PD,0.75
0.7049519059494121,0.5515665068569517,0.9765100671140939,0.17442964424418106,0.7538261487239367,prejudice_remover_eta10,pd_v0.75,PD,0.75
0.9971366395601878,0.9983944954128441,0.9958819492107069,0.22244268077601415,0.7771593895624903,lr_sem_mitigacao,pd_v0.75,PD,0.75
0.9956680346557227,0.992274483072029,0.9990848776023793,0.22455173427395647,0.7750465631602583,lr_balanceado,pd_v0.75,PD,0.75
