base_treino,serie_treino,vies_treino,base_teste,serie_teste,vies_teste,eta,usou_modelo_padrao,f1,recall,precision,spd,abs_spd,di,n_priv_teste,n_depriv_teste
pd_v0.25,PD,0.25,pd_v0,PD,0.0,5.0,False,0.9645719595771867,0.9995185363505056,0.931986531986532,0.1634291584132357,0.1634291584132357,1.2277083090483154,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,10.0,False,0.9004564225168442,0.9973519499277804,0.8207210776545166,0.10816445294871857,0.10816445294871857,1.1527324361161715,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,15.0,False,0.9005542875774373,0.9973519499277804,0.8208836932831385,0.10830170246834525,0.10830170246834525,1.1529262378034808,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,25.0,False,0.7814015403632214,0.9891670678863745,0.6457645764576457,0.12760748718691428,0.12760748718691428,1.200841989613076,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,35.0,False,0.7814015403632214,0.9891670678863745,0.6457645764576457,0.12760748718691428,0.12760748718691428,1.200841989613076,12714,7286
pd_v0.25,PD,0.25,pd_v0,PD,0.0,50.0,False,0.7813272485263358,0.9891670678863745,0.6456631049654306,0.12768614063980088,0.12768614063980088,1.2009906638720351,12714,7286
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,0.0,True,0.9956986604399656,1.0,0.991434165442976,-0.6796733294669706,0.6796733294669706,0.30755569301798014,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,1.0,False,0.9811092274158392,1.0,0.962918944616116,-0.6856913333086448,0.6856913333086448,0.2982758810967027,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,5.0,False,0.9638353556983107,1.0,0.930195177956372,-0.6800362209461103,0.6800362209461103,0.29763264435511205,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,10.0,False,0.9213226909920182,0.9972846210812145,0.8561135833863106,-0.65548966195927,0.65548966195927,0.30510540031150857,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,15.0,False,0.9212176490708015,0.9972846210812145,0.8559322033898306,-0.6554208435709967,0.6554208435709967,0.30512766102946504,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,25.0,False,0.7624793227595602,0.9671686003455937,0.6292964985544491,-0.5371836548362585,0.5371836548362585,0.3571227402054298,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,35.0,False,0.7624793227595602,0.9671686003455937,0.6292964985544491,-0.5371836548362585,0.5371836548362585,0.3571227402054298,14531,5469
pd_v0.25,PD,0.25,pd_v0.5,PD,0.5,50.0,False,0.7625535227715065,0.9671686003455937,0.6293975903614458,-0.5372524732245318,0.5372524732245318,0.3570933304434101,14531,5469
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,0.0,True,0.9954261178008028,0.9996250468691413,0.9912623164156906,-0.707352154685547,0.707352154685547,0.26155783206102334,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,1.0,False,0.986349707493732,0.9956880389951256,0.9771849126034958,-0.7046073492903491,0.7046073492903491,0.2615862814363866,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,5.0,False,0.9702970297029703,0.9921259842519685,0.9494079655543596,-0.6925401159716542,0.6925401159716542,0.26590855772872785,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,10.0,False,0.9383665801950085,0.9833145856767904,0.8973481608212147,-0.6716750551786398,0.6716750551786398,0.2724145032963642,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,15.0,False,0.9383665801950085,0.9833145856767904,0.8973481608212147,-0.6716750551786398,0.6716750551786398,0.2724145032963642,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,25.0,False,0.8149096144616861,0.9550056242969629,0.7106584821428571,-0.5598360093992463,0.5598360093992463,0.3182205070188096,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,35.0,False,0.8149096144616861,0.9550056242969629,0.7106584821428571,-0.5598360093992463,0.5598360093992463,0.3182205070188096,13586,6414
pd_v0.25,PD,0.25,pd_v0.75,PD,0.75,50.0,False,0.8149096144616861,0.9550056242969629,0.7106584821428571,-0.5598360093992463,0.5598360093992463,0.3182205070188096,13586,6414
pd_v0.25,PD,0.25,pd_v1,PD,1.0,0.0,True,0.9952551563861721,0.9996109706282824,0.9909371384496722,-0.8745535192198025,0.8745535192198025,0.12315041321394954,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,1.0,False,0.9854849562626166,0.9970822797121183,0.9741543139490688,-0.8711039254621542,0.8711039254621542,0.12237444087128424,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,5.0,False,0.971978650400305,0.9918303831939311,0.9529059988787143,-0.860464945245596,0.860464945245596,0.1264283894007564,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,10.0,False,0.9307598613323339,0.9661544446605719,0.8978669558929863,-0.8204077252960161,0.8204077252960161,0.14912205237575538,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,15.0,False,0.9307598613323339,0.9661544446605719,0.8978669558929863,-0.8204077252960161,0.8204077252960161,0.14912205237575538,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,25.0,False,0.725787811079436,0.9161641703948649,0.600918601684103,-0.6179048046190702,0.6179048046190702,0.21730211660533738,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,35.0,False,0.725787811079436,0.9161641703948649,0.600918601684103,-0.6179048046190702,0.6179048046190702,0.21730211660533738,14130,5870
pd_v0.25,PD,0.25,pd_v1,PD,1.0,50.0,False,0.7257318952234206,0.9161641703948649,0.6008419441255262,-0.6178340332107192,0.6178340332107192,0.21732159859535038,14130,5870
pd_v0.25,PD,0.25,gs_v0,GS,0.0,0.0,True,0.9906877594524851,0.9997735507246377,0.9817656215254614,-0.05590727001582407,0.05590727001582407,0.930594466557801,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,1.0,False,0.951301155382788,0.9975090579710145,0.9091847265221878,-0.08915162365598639,0.08915162365598639,0.8894137407894722,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,5.0,False,0.9165711905009895,0.9963768115942029,0.8486017357762777,-0.10634547815419415,0.10634547815419415,0.8668203626788826,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,10.0,False,0.8453747467927076,0.9923007246376812,0.7363468324651319,-0.15771750105543558,0.15771750105543558,0.7998799045766539,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,15.0,False,0.8453747467927076,0.9923007246376812,0.7363468324651319,-0.15751600034057656,0.15751600034057656,0.8001078201233545,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,25.0,False,0.7137491835401698,0.9898097826086957,0.5580949948927477,-0.13582139565016982,0.13582139565016982,0.8008984289979783,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,35.0,False,0.7137491835401698,0.9898097826086957,0.5580949948927477,-0.13582139565016982,0.13582139565016982,0.8008984289979783,9137,10863
pd_v0.25,PD,0.25,gs_v0,GS,0.0,50.0,False,0.7137491835401698,0.9898097826086957,0.5580949948927477,-0.13582139565016982,0.13582139565016982,0.8008984289979783,9137,10863
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,0.0,True,0.9934461508363495,1.0,0.986977648202138,0.0909569892497909,0.0909569892497909,1.135329946043312,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,1.0,False,0.9519167682069547,1.0,0.9082453943838311,0.06512404805650318,0.06512404805650318,1.0972182581745593,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,5.0,False,0.932341870926283,1.0,0.8732588134135856,0.06626484704463209,0.06626484704463209,1.1007388011552963,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,10.0,False,0.8976489305285487,1.0,0.8143040410519564,0.048093622984379025,0.048093622984379025,1.0738935032648576,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,15.0,False,0.8976489305285487,1.0,0.8143040410519564,0.048093622984379025,0.048093622984379025,1.0738935032648576,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,25.0,False,0.8087275043796783,1.0,0.6788770053475935,0.0069075055950564845,0.0069075055950564845,1.011129727731234,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,35.0,False,0.8087919088954368,1.0,0.6789677764407006,0.006971888803915527,0.006971888803915527,1.0112334652635755,4468,15532
pd_v0.25,PD,0.25,gs_v0.25,GS,0.25,50.0,False,0.8087275043796783,1.0,0.6788770053475935,0.0069075055950564845,0.0069075055950564845,1.011129727731234,4468,15532
pd_v0.25,PD,0.25,gs_v0.5,GS,0.5,0.0,True,0.9949847575966172,0.9986182392420055,0.9913776210072507,0.04476272259858993,0.04476272259858993,1.0635331606463285,1997,18003
pd_v0.25,PD,0.25,gs_v0.5,GS,0.5,1.0,False,0.9503386004514672,0.9972364784840111,0.9076536112109235,0.019044786699017657,0.019044786699017657,1.0270308735166582,1997,18003
