f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,feature_set,n_features
0.9825742098305492,0.9810415166786657,0.9841116995666828,0.2107295270761974,1.2947755756680355,pd_v1,PD,1.0,completo_10,10
0.9808219178082191,0.9756667315553825,0.9860318709423569,0.3484685286365695,0.5849188160992407,pd_v1,PD,1.0,completo_10,10
0.9936133628101204,0.9887558054265461,0.998518884226117,0.686627585523143,0.30164587070506127,pd_v1,PD,1.0,completo_10,10
0.9918363516937224,0.9928611685139959,0.9908136482939632,0.7114740448666157,0.2604371558104176,pd_v1,PD,1.0,completo_10,10
0.9685299295774648,0.9419948630136986,0.9966032608695652,0.05468793881503331,0.9313055132041573,pd_v1,PD,1.0,completo_10,10
0.9631135637525414,0.947248143210817,0.9795194958645136,0.0907609000138565,1.1360804366650707,pd_v1,PD,1.0,completo_10,10
0.9786692759295499,0.970314318975553,0.9871693643900513,0.04860543050313959,1.0695806772148888,pd_v1,PD,1.0,completo_10,10
0.9700168444693992,0.9525805028672254,0.9881034088309312,0.2295561434450324,0.7696210746788206,pd_v1,PD,1.0,completo_10,10
0.9447683338447377,0.9024032825322391,0.9913071474565357,0.8294,0.0,pd_v1,PD,1.0,completo_10,10
0.48168572589539677,0.31737168209286315,0.9987963408762638,0.20283952566807828,1.744486642420308,gs_v0,GS,0.0,transacional_2,2
0.5612080013372709,0.3914800995024876,0.9907534920322644,0.16605699909752883,0.5876645409400816,gs_v0,GS,0.0,transacional_2,2
0.49629581910713133,0.33577405857740583,0.9508763268328808,0.2589608896505009,0.4791749913478992,gs_v0,GS,0.0,transacional_2,2
0.5955267201639064,0.4275557734738907,0.9808773903262092,0.2810616506628758,0.41235709665961356,gs_v0,GS,0.0,transacional_2,2
0.597146899316199,0.42840226676816373,0.9852168838747325,0.3845888325852301,0.2628540145917931,gs_v0,GS,0.0,transacional_2,2
0.5779594656840166,0.4083807973962571,0.988381252461599,0.026057043177212802,1.0713375422278106,gs_v0,GS,0.0,transacional_2,2
0.5521324416182436,0.3822100789313904,0.9940781681800237,0.0654337057438627,0.8364566828904959,gs_v0,GS,0.0,transacional_2,2
0.5054430527917594,0.3395988989382619,0.9878746282315259,0.2388668430335097,0.5995046943150736,gs_v0,GS,0.0,transacional_2,2
0.4028239766478854,0.2552258064516129,0.9552479072762395,0.41875,0.0,gs_v0,GS,0.0,transacional_2,2
0.9849436870183759,0.9703340341041813,1.0,0.19357176103116291,1.2705663335257482,gs_v0,GS,0.0,temporal_tipo_4,4
0.9761492594729756,0.9548447789275635,0.9984261263033641,0.3411646135675023,0.5882633419210784,gs_v0,GS,0.0,temporal_tipo_4,4
0.9703160677803149,0.9454332552693209,0.996544063194273,0.6803491061581083,0.30044205621401987,gs_v0,GS,0.0,temporal_tipo_4,4
0.9762885654124325,0.9540168187511183,0.9996250468691413,0.7084200839369899,0.2525166775110325,gs_v0,GS,0.0,temporal_tipo_4,4
0.9860831173817065,0.9732853353543008,0.9992219412565648,0.8682836788111368,0.12377886147683453,gs_v0,GS,0.0,temporal_tipo_4,4
0.9804035138526885,0.9615603105472449,1.0,0.08623563078598706,1.1289062557215759,gs_v0,GS,0.0,temporal_tipo_4,4
0.9878132007409574,0.975919861298401,1.0,0.05266948915290948,1.07599781057685,gs_v0,GS,0.0,temporal_tipo_4,4
0.980695847362514,0.9625468164794008,0.9995424388011896,0.22430188124632577,0.7736773810847885,gs_v0,GS,0.0,temporal_tipo_4,4
0.9570174087197658,0.9175775480059084,1.0,0.83075,0.0,gs_v0,GS,0.0,temporal_tipo_4,4
0.9923554706163402,0.9848269321953532,1.0,0.19660500348229903,1.2740228035818844,gs_v0,GS,0.0,comportamental_6,6
0.9936305732484076,0.9898477157360406,0.9974424552429667,0.35200435187472234,0.5815682741311734,gs_v0,GS,0.0,comportamental_6,6
0.9808624031007752,0.9629013079667063,0.999506294742039,0.6926239837380725,0.2926258709799035,gs_v0,GS,0.0,comportamental_6,6
0.9860430723726777,0.9724703737465816,1.0,0.716993079368603,0.24976371100571165,gs_v0,GS,0.0,comportamental_6,6
0.9887445887445887,0.9781119147316331,0.9996109706282824,0.884449942189284,0.11278732904056635,gs_v0,GS,0.0,comportamental_6,6
0.9874574623237725,0.9752256577683887,1.0,0.09157638223313935,1.1369813444317598,gs_v0,GS,0.0,comportamental_6,6
0.9895497607188202,0.9793156775565436,1.0,0.0453248611460767,1.0646988904279593,gs_v0,GS,0.0,comportamental_6,6
0.9890234242389951,0.9785042543663234,0.9997712194005949,0.2223838918283363,0.7760162240577908,gs_v0,GS,0.0,comportamental_6,6
0.9663970130678282,0.9349789283564118,1.0,0.8339,0.0,gs_v0,GS,0.0,comportamental_6,6
0.9929315921888103,0.988313856427379,0.9975926817525277,0.1961499879677273,1.2728502130220662,gs_v0,GS,0.0,completo_10,10
0.9951937224129476,0.9923708920187794,0.9980326578792051,0.3504462729619052,0.5834546025231409,gs_v0,GS,0.0,completo_10,10
0.9850455927051672,0.9705318639195016,1.0,0.6726106426096004,0.31030236061251126,gs_v0,GS,0.0,completo_10,10
0.9879428677425338,0.9776064610866373,0.9985001874765654,0.6999782558312311,0.2647928423870811,gs_v0,GS,0.0,completo_10,10
