f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,volume
0.9802740258478282,0.9653588516746412,0.9956573233320174,0.05133721245090428,1.0741290045296137,pd_v1,PD,1.0,2500
0.9716391246092005,0.9489640130861505,0.9954243880118966,0.22666813639035865,0.7712898083268453,pd_v1,PD,1.0,2500
0.9429878048780488,0.8954834973943254,0.9958145524790728,0.8273,0.0,pd_v1,PD,1.0,2500
0.9820574162679426,0.9759866856871137,0.9882041405873857,0.20861534039845586,1.2923005772345126,pd_v1,PD,1.0,5000
0.9814742589703588,0.972936400541272,0.9901632893960259,0.34673018790326726,0.5858643644731406,pd_v1,PD,1.0,5000
0.9902152641878669,0.9813333333333333,0.9992594421130585,0.6825260901155465,0.30381955528085025,pd_v1,PD,1.0,5000
0.9891750653228817,0.9847640282422891,0.9936257967754031,0.7075903674020896,0.26125238365290177,pd_v1,PD,1.0,5000
0.9681808207153829,0.9391230310770541,0.9990942028985508,0.05607388088190535,0.9295161577083547,pd_v1,PD,1.0,5000
0.9640966406776398,0.9429485972509886,0.9862150452934226,0.0923736504022884,1.139387190137597,pd_v1,PD,1.0,5000
0.9800370045768819,0.9671343455698636,0.9932885906040269,0.050334041305250654,1.0724708583176537,pd_v1,PD,1.0,5000
0.9707066189624329,0.9492674393177345,0.9931365820178449,0.2278880070546737,0.7704725108801848,pd_v1,PD,1.0,5000
0.9444869246062089,0.899504806291873,0.9942047649710238,0.82835,0.0,pd_v1,PD,1.0,5000
0.9826118239597074,0.9789725209080048,0.9862782859894078,0.20955445355799673,1.2933254786454222,pd_v1,PD,1.0,7500
0.9806413766132186,0.9747327502429544,0.9866220735785953,0.3471658851968121,0.5860956498918364,pd_v1,PD,1.0,7500
0.9922727830246535,0.9861043393466602,0.998518884226117,0.6843605802181625,0.3031223832410569,pd_v1,PD,1.0,7500
0.9905439565583747,0.9893398167196559,0.9917510311211098,0.709937034634279,0.26073391948023944,pd_v1,PD,1.0,7500
0.968018463567425,0.9404228058936579,0.9972826086956522,0.05570055043245026,0.9300335538491479,pd_v1,PD,1.0,7500
0.9640371229698376,0.9468287124952526,0.9818826309570697,0.0909479398641232,1.1365441516508408,pd_v1,PD,1.0,7500
0.9796875,0.9694626981059142,0.9901302803000395,0.04971969424447176,1.0713804668628397,pd_v1,PD,1.0,7500
0.9702814848043064,0.9516058073031236,0.9897048730267674,0.2301734273956496,0.7690015782409251,pd_v1,PD,1.0,7500
0.9451256897608828,0.9019894675248683,0.9925949774629749,0.8291,0.0,pd_v1,PD,1.0,7500
0.9825742098305492,0.9810415166786657,0.9841116995666828,0.2107295270761974,1.2947755756680355,pd_v1,PD,1.0,10000
0.9808219178082191,0.9756667315553825,0.9860318709423569,0.3484685286365695,0.5849188160992407,pd_v1,PD,1.0,10000
0.9936133628101204,0.9887558054265461,0.998518884226117,0.686627585523143,0.30164587070506127,pd_v1,PD,1.0,10000
0.9918363516937224,0.9928611685139959,0.9908136482939632,0.7114740448666157,0.2604371558104176,pd_v1,PD,1.0,10000
0.9685299295774648,0.9419948630136986,0.9966032608695652,0.05468793881503331,0.9313055132041573,pd_v1,PD,1.0,10000
0.9631135637525414,0.947248143210817,0.9795194958645136,0.0907609000138565,1.1360804366650707,pd_v1,PD,1.0,10000
0.9786692759295499,0.970314318975553,0.9871693643900513,0.04860543050313959,1.0695806772148888,pd_v1,PD,1.0,10000
0.9700168444693992,0.9525805028672254,0.9881034088309312,0.2295561434450324,0.7696210746788206,pd_v1,PD,1.0,10000
0.9447683338447377,0.9024032825322391,0.9913071474565357,0.8294,0.0,pd_v1,PD,1.0,10000
0.9835518474374255,0.9740321057601511,0.9932595089070775,0.19456631807404534,1.2712408078940145,gs_v0,GS,0.0,1000
0.9838584208479191,0.972697558161892,0.9952783789100925,0.34354545411265175,0.5885473739296451,gs_v0,GS,0.0,1000
0.9682748713037233,0.9400278940027894,0.9982720315971365,0.6640535560829408,0.31291923786377,gs_v0,GS,0.0,1000
0.9714703730797366,0.9482327740092824,0.995875515560555,0.6881840295713351,0.26835681776694903,gs_v0,GS,0.0,1000
0.9723809523809523,0.9526030975928345,0.9929974713090839,0.8543528033073275,0.1306974068745922,gs_v0,GS,0.0,1000
0.9710672542632688,0.9455223880597015,0.9980307207562032,0.10362872295761127,1.1590563841204422,gs_v0,GS,0.0,1000
0.9834211039594305,0.9718581341557441,0.9952625345440189,0.04449166667848803,1.063509548503889,gs_v0,GS,0.0,1000
0.9736017897091722,0.9525060188224994,0.9956531686113017,0.2056363903586126,0.7883154805131929,gs_v0,GS,0.0,1000
0.9526755335601609,0.9166666666666666,0.9916291049581455,0.832,0.0,gs_v0,GS,0.0,1000
0.990678776290631,0.983626008542952,0.997833413577275,0.19607448669823946,1.273133671949317,gs_v0,GS,0.0,2500
0.9913077448969626,0.9842901474010861,0.9984261263033641,0.34715537638002103,0.5858351631891059,gs_v0,GS,0.0,2500
0.9790936555891239,0.9590435606060606,1.0,0.669169723195933,0.31140108719211795,gs_v0,GS,0.0,2500
0.9816403727281114,0.9663941871026339,0.9973753280839895,0.6946351898134652,0.26689088100631264,gs_v0,GS,0.0,2500
0.9827354690197583,0.9693472090823084,0.996498735654542,0.8612777916427045,0.1287331618047384,gs_v0,GS,0.0,2500
0.981916642491055,0.9646589397681931,0.9998030720756204,0.09776962039383386,1.1479291107076361,gs_v0,GS,0.0,2500
0.9902018420536939,0.9830739299610894,0.9974338728780102,0.044932699276654775,1.0639562369604274,gs_v0,GS,0.0,2500
0.9847543760587238,0.9723461195361285,0.9974834134065431,0.21044973544973544,0.7853336031842407,gs_v0,GS,0.0,2500
0.9694309452892302,0.9446990528567064,0.995492594977463,0.83635,0.0,gs_v0,GS,0.0,2500
0.9913916786226685,0.9847980997624703,0.9980741454020221,0.19597577585920634,1.272906463775898,gs_v0,GS,0.0,5000
0.9926650366748166,0.9869700505639829,0.9984261263033641,0.34862278707091654,0.5846324846731644,gs_v0,GS,0.0,5000
0.9800411273738963,0.9608633776091081,1.0,0.6697202703021198,0.3112247683657653,gs_v0,GS,0.0,5000
0.9831165236645447,0.9678474114441417,0.9988751406074241,0.696471302861293,0.26540958615996224,gs_v0,GS,0.0,5000
0.9847482014388489,0.9714231642694928,0.9984438825131298,0.8637598546473426,0.12690988295536515,gs_v0,GS,0.0,5000
0.9842008335756518,0.9690780683336515,0.9998030720756204,0.09499186246962688,1.142999879216406,gs_v0,GS,0.0,5000
0.9915719325754606,0.984624367458155,0.9986182392420055,0.045600089296862545,1.0649524809742044,gs_v0,GS,0.0,5000
0.986449864498645,0.9739130434782609,0.9993136582017845,0.21233833039388594,0.7838009726898616,gs_v0,GS,0.0,5000
0.9728627450980392,0.9486081370449678,0.998390212491951,0.83655,0.0,gs_v0,GS,0.0,5000
0.9930522280785817,0.9883166428230806,0.997833413577275,0.19622864142061391,1.2729894897714942,gs_v0,GS,0.0,7500
0.9949995097558584,0.991790461297889,0.9982293920912847,0.35041973226408807,0.5833834752564429,gs_v0,GS,0.0,7500
0.9846864365580943,0.9698348096720134,1.0,0.6724041874447803,0.31036806551665,gs_v0,GS,0.0,7500
